task_type,cpu_usage,mem_usage,io_usage,duration,priority,resource_allocated
svchost.exe,0,0,0,8135,low,medium
svchost.exe,0,0,0,8135,low,medium
explorer.exe,0,0,100,8135,low,medium
conhost.exe,0,0,0,14,low,medium
audiodg.exe,0,0,0,423,low,medium
backgroundTaskHost.exe,0,0,0,3725,low,medium
svchost.exe,0,0,0,8135,low,medium
PhoneExperienceHost.exe,0,0,0,8128,low,medium
Zalo.exe,0,0,7,8118,low,medium
PowerToys.exe,0,0,0,8133,low,medium
svchost.exe,0,0,0,8136,low,medium
conhost.exe,0,0,0,8136,low,medium
svchost.exe,0,0,0,8135,low,medium
svchost.exe,0,0,0,4283,low,medium
svchost.exe,0,0,6,8017,low,medium
CC_Engine_x64.exe,0,0,0,8129,low,medium
conhost.exe,0,0,0,8129,low,medium
zen.exe,0,0,0,1678,low,medium
dllhost.exe,0,0,0,5613,low,medium
Widgets.exe,0,0,3,8136,low,medium
MuseAuthService.exe,0,0,48,3786,low,medium
WidgetService.exe,0,0,0,8136,low,medium
svchost.exe,0,0,0,8135,low,medium
NVIDIA Overlay.exe,0,0,0,8136,low,medium
nvsphelper64.exe,0,0,0,8136,low,medium
NVIDIA Overlay.exe,0,0,27,8136,low,medium
Spotify.exe,28,0,100,1812,low,medium
NVIDIA Overlay.exe,0,0,70,8136,low,medium
Code.exe,0,0,40,333,low,medium
ctfmon.exe,0,0,4,8136,low,medium
dllhost.exe,0,0,0,7672,low,medium
python.exe,0,0,0,17,low,medium
RuntimeBroker.exe,0,0,0,5712,low,medium
Spotify.exe,0,0,59,1813,low,medium
NisSrv.exe,0,0,6,8133,low,medium
LockApp.exe,0,0,0,8136,low,medium
svchost.exe,0,0,0,8136,low,medium
RuntimeBroker.exe,0,0,0,8136,low,medium
SearchIndexer.exe,0,0,100,8136,low,medium
backgroundTaskHost.exe,0,0,0,40,low,medium
RuntimeBroker.exe,0,0,0,8040,low,medium
MSI.TerminalServer.exe,0,0,0,8134,low,medium
svchost.exe,0,0,6,8131,low,medium
PowerToys.KeyboardManagerEngine.exe,0,0,0,8130,low,medium
PowerToys.PowerLauncher.exe,0,0,5,8131,low,medium
Zalo.exe,0,0,45,8122,low,medium
Code.exe,0,0,1,335,low,medium
rundll32.exe,0,0,0,8124,low,medium
Code.exe,0,1,100,331,low,medium
steam.exe,0,0,100,8123,low,medium
ruff.exe,0,0,0,332,low,medium
