task_type,cpu_usage,mem_usage,io_usage,duration,priority,resource_allocated
svchost.exe,0,0,0,14969,unknown,medium
conhost.exe,0,0,0,61,low,medium
svchost.exe,0,0,0,14970,unknown,medium
svchost.exe,0,0,41,14970,unknown,medium
svchost.exe,0,0,0,14970,unknown,medium
svchost.exe,0,0,0,14970,unknown,medium
svchost.exe,0,0,0,14970,unknown,medium
jusched.exe,0,0,0,14939,low,medium
igfxCUIService.exe,0,0,0,14970,unknown,medium
svchost.exe,0,0,0,14970,unknown,medium
SearchProtocolHost.exe,0,0,0,18,unknown,medium
svchost.exe,0,0,70,14971,unknown,medium
svchost.exe,0,0,0,14971,unknown,medium
MemCompression,0,2,0,14971,unknown,medium
RuntimeBroker.exe,0,0,0,13025,low,medium
svchost.exe,0,0,0,14971,unknown,medium
svchost.exe,0,0,0,14971,unknown,medium
svchost.exe,0,0,0,14971,unknown,medium
svchost.exe,0,0,0,14971,unknown,medium
svchost.exe,0,0,0,14971,unknown,medium
svchost.exe,0,0,0,12334,unknown,medium
svchost.exe,0,0,0,14971,unknown,medium
wlanext.exe,0,0,0,14971,unknown,medium
RuntimeBroker.exe,0,0,7,14956,low,medium
spoolsv.exe,0,0,0,14971,unknown,medium
conhost.exe,0,0,0,14972,unknown,medium
svchost.exe,0,0,0,14972,unknown,medium
ms-teams.exe,0,0,9,11140,low,medium
svchost.exe,0,0,0,14972,unknown,medium
svchost.exe,0,0,0,14972,unknown,medium
taskhostw.exe,0,0,0,14967,low,medium
msedgewebview2.exe,0,2,100,11153,low,medium
svchost.exe,0,0,1,14972,unknown,medium
OfficeClickToRun.exe,0,0,6,14972,unknown,medium
svchost.exe,0,0,0,14972,unknown,medium
svchost.exe,0,0,100,14972,unknown,medium
svchost.exe,0,0,100,14972,unknown,medium
svchost.exe,0,0,19,14968,low,medium
FoxitPDFReaderUpdateService.exe,0,0,100,14973,unknown,medium
SearchFilterHost.exe,0,0,0,22,unknown,medium
esif_uf.exe,0,0,0,14973,unknown,medium
svchost.exe,0,0,0,14972,unknown,medium
OneApp.IGCC.WinService.exe,0,0,0,14973,unknown,medium
svchost.exe,0,0,56,14973,unknown,medium
IntelAudioService.exe,0,0,0,14973,unknown,medium
jhi_service.exe,0,0,0,14973,unknown,medium
svchost.exe,0,0,0,14967,low,medium
taskhostw.exe,0,0,0,14969,low,medium
browser.exe,0,0,0,177,low,medium
MpDefenderCoreService.exe,0,0,4,14974,unknown,medium
svchost.exe,0,0,0,14974,unknown,medium
RtkAudUService64.exe,0,0,0,14974,unknown,medium
RstMwService.exe,0,0,0,14974,unknown,medium
svchost.exe,0,0,0,14974,unknown,medium
vpnclient_x64.exe,0,0,100,14974,unknown,medium
svchost.exe,0,0,0,14974,unknown,medium
dasHost.exe,0,0,0,14974,unknown,medium
svchost.exe,0,0,0,14975,unknown,medium
MsMpEng.exe,0,2,100,14975,unknown,medium
svchost.exe,0,0,0,14975,unknown,medium
svchost.exe,0,0,3,14975,unknown,medium
browser.exe,0,0,0,14891,low,medium
WMIRegistrationService.exe,0,0,0,14975,unknown,medium
WmiPrvSE.exe,0,0,0,35,unknown,medium
Video.UI.exe,0,0,14,13031,low,medium
svchost.exe,0,0,0,14975,unknown,medium
RuntimeBroker.exe,0,0,6,6035,low,medium
svchost.exe,0,0,0,276,unknown,medium
browser.exe,0,2,100,14914,low,medium
browser.exe,0,0,0,14913,low,medium
browser.exe,0,0,2,14899,low,medium
svchost.exe,0,0,0,14975,unknown,medium
dptf_helper.exe,0,0,0,14975,low,medium
igfxEM.exe,0,0,0,14972,low,medium
browser.exe,0,7,100,14904,low,medium
browser.exe,0,0,2,14427,low,medium
dllhost.exe,0,0,1,14975,unknown,medium
SearchApp.exe,0,0,3,14870,low,medium
TextInputHost.exe,0,0,0,14959,low,medium
gamingservices.exe,0,0,12,14975,unknown,medium
gamingservicesnet.exe,0,0,0,14975,unknown,medium
SearchIndexer.exe,0,0,29,14975,unknown,medium
dllhost.exe,0,0,41,14970,low,medium
browser.exe,0,3,100,14438,low,medium
Code.exe,0,1,44,102,low,medium
browser.exe,0,0,1,649,low,medium
svchost.exe,0,0,0,14974,unknown,medium
svchost.exe,0,0,0,14974,unknown,medium
LockApp.exe,0,0,0,6037,low,medium
svchost.exe,0,0,100,14974,low,medium
sihost.exe,0,0,1,14974,low,medium
Code.exe,0,1,91,103,low,medium
svchost.exe,0,0,0,14975,unknown,medium
svchost.exe,0,0,0,14975,unknown,medium
svchost.exe,0,0,0,14975,unknown,medium
msedgewebview2.exe,0,0,88,11161,low,medium
msedgewebview2.exe,0,0,5,14871,low,medium
svchost.exe,0,0,2,6042,unknown,medium
svchost.exe,0,0,0,405,unknown,medium
svchost.exe,0,0,0,14975,unknown,medium
ctfmon.exe,0,0,0,14975,low,medium
svchost.exe,0,0,0,14885,unknown,medium
UniKeyNT.exe,0,0,0,14499,low,medium
svchost.exe,0,0,0,14855,unknown,medium
RtkAudUService64.exe,0,0,0,14972,unknown,medium
explorer.exe,0,1,81,14975,low,medium
Code.exe,0,1,3,78,low,medium
svchost.exe,0,0,0,14975,unknown,medium
AggregatorHost.exe,0,0,100,14975,unknown,medium
rundll32.exe,0,0,0,14883,low,medium
browser.exe,0,0,2,14905,low,medium
browser.exe,46,1,28,7411,low,medium
StartMenuExperienceHost.exe,0,0,0,14973,low,medium
RuntimeBroker.exe,0,0,0,14972,low,medium
svchost.exe,0,0,0,14972,unknown,medium
browser.exe,0,1,100,14511,low,medium
SearchApp.exe,0,0,84,14972,low,medium
RuntimeBroker.exe,0,0,5,14972,low,medium
msedge.exe,0,0,4,14956,low,medium
svchost.exe,0,0,0,14968,unknown,medium
NisSrv.exe,0,0,0,14967,unknown,medium
msedge.exe,0,0,10,14956,low,medium
ms-teams.exe,0,0,49,11785,low,medium
svchost.exe,0,0,0,14971,unknown,medium
conhost.exe,0,0,0,81,low,medium
browser.exe,0,0,2,14284,low,medium
msedge.exe,0,0,0,14956,low,medium
msedgewebview2.exe,0,0,0,14875,low,medium
browser.exe,0,0,5,14431,low,medium
browser.exe,0,0,100,14919,low,medium
browser.exe,0,0,100,14917,low,medium
CocCocCrashHandler.exe,0,0,0,14970,unknown,medium
CocCocCrashHandler64.exe,0,0,0,14970,unknown,medium
msedgewebview2.exe,0,0,72,11165,low,medium
SecurityHealthSystray.exe,0,0,0,14961,low,medium
SecurityHealthService.exe,0,0,0,14961,unknown,medium
RtkAudUService64.exe,0,0,0,14961,low,medium
vpnclient_x64.exe,0,0,10,14961,low,medium
OneDrive.exe,0,0,48,14960,low,medium
OneDrive.exe,0,0,12,14959,low,medium
svchost.exe,0,0,0,14960,unknown,medium
msedge.exe,0,0,65,14959,low,medium
Microsoft.SharePoint.exe,0,0,3,14677,low,medium
svchost.exe,0,0,0,14959,unknown,medium
msedge.exe,0,0,0,14959,low,medium
browser.exe,0,0,26,14921,low,medium
conhost.exe,0,0,0,81,low,medium
Code.exe,0,1,35,87,low,medium
msedgewebview2.exe,0,0,11,14877,low,medium
msedge.exe,0,0,5,14958,low,medium
msedgewebview2.exe,0,0,37,14877,low,medium
browser.exe,0,0,22,14446,low,medium
msedge.exe,0,0,0,14958,low,medium
browser.exe,0,2,100,14922,low,medium
ShellExperienceHost.exe,0,0,0,14958,low,medium
CompPkgSrv.exe,0,0,0,14909,low,medium
RuntimeBroker.exe,0,0,0,14957,low,medium
browser.exe,15,0,100,14922,low,medium
python.exe,0,0,0,24,low,medium
svchost.exe,0,0,0,14379,unknown,medium
powershell.exe,0,0,0,83,low,medium
dllhost.exe,0,0,12,14397,low,medium
Code.exe,0,3,100,81,low,medium
browser.exe,0,1,48,8079,low,medium
UserOOBEBroker.exe,0,0,0,4274,low,medium
Code.exe,0,1,39,109,low,medium
RuntimeBroker.exe,0,0,0,11788,low,medium
browser.exe,0,1,7,4762,low,medium
msedgewebview2.exe,0,0,18,11168,low,medium
msedgewebview2.exe,0,0,0,11169,low,medium
svchost.exe,0,0,2,380,unknown,medium
powershell.exe,0,0,0,80,low,medium
Code.exe,0,0,0,112,low,medium
Code.exe,0,0,1,90,low,medium
msedgewebview2.exe,0,0,0,11154,low,medium
browser.exe,0,1,23,191,low,medium
dllhost.exe,0,0,0,2367,low,medium
browser.exe,0,0,0,659,low,medium
Code.exe,0,0,0,112,low,medium
svchost.exe,0,0,0,4516,unknown,medium
Code.exe,0,0,0,87,low,medium
System Idle Process,258,0,0,0,unknown,medium
System,0,0,100,0,unknown,medium
Registry,0,0,100,15045,unknown,medium
browser.exe,0,0,100,14971,low,medium
browser.exe,0,0,100,14971,low,medium
svchost.exe,0,0,4,15037,unknown,medium
Code.exe,31,1,24,159,low,medium
smss.exe,0,0,0,15043,unknown,medium
pet.exe,0,0,0,133,low,medium
WUDFHost.exe,0,0,5,15037,unknown,medium
csrss.exe,0,0,0,15038,unknown,medium
wininit.exe,0,0,0,15038,unknown,medium
csrss.exe,0,0,1,15038,unknown,medium
services.exe,0,0,0,15038,unknown,medium
lsass.exe,0,0,0,15038,unknown,medium
winlogon.exe,0,0,0,15038,unknown,medium
fontdrvhost.exe,0,0,0,15038,unknown,medium
fontdrvhost.exe,0,0,0,15038,unknown,medium
svchost.exe,0,0,0,15038,unknown,medium
svchost.exe,0,0,0,15038,unknown,medium
msedgewebview2.exe,0,0,67,14928,low,medium
WUDFHost.exe,0,0,0,15038,unknown,medium
browser.exe,0,3,61,713,low,medium
svchost.exe,0,0,0,15039,unknown,medium
vpncmgr_x64.exe,0,0,9,15008,low,medium
browser.exe,0,3,100,2618,low,medium
browser.exe,0,0,27,14968,low,medium
svchost.exe,0,0,0,15039,unknown,medium
svchost.exe,0,0,88,15039,unknown,medium
svchost.exe,0,0,0,15039,unknown,medium
svchost.exe,0,0,0,15039,unknown,medium
audiodg.exe,0,0,0,12349,low,medium
dwm.exe,0,0,10,15040,unknown,medium
svchost.exe,0,0,0,15040,unknown,medium
msedgewebview2.exe,0,0,72,14930,low,medium
IntelCpHDCPSvc.exe,0,0,0,15040,unknown,medium
svchost.exe,0,0,0,15040,unknown,medium
svchost.exe,0,0,0,15040,unknown,medium
svchost.exe,0,0,0,15040,unknown,medium
msedgewebview2.exe,0,0,100,11221,low,medium
FileCoAuth.exe,0,0,0,13615,low,medium
svchost.exe,0,0,0,15040,unknown,medium
svchost.exe,0,0,0,15040,unknown,medium
svchost.exe,0,0,0,15041,unknown,medium
svchost.exe,0,0,10,15041,unknown,medium
IntelCpHeciSvc.exe,0,0,0,15041,unknown,medium
smartscreen.exe,0,0,0,164,low,medium
svchost.exe,0,0,0,15040,unknown,medium
svchost.exe,0,0,0,15041,unknown,medium
svchost.exe,0,0,0,15041,unknown,medium
svchost.exe,0,0,7,14915,low,medium
svchost.exe,0,0,0,15041,unknown,medium
conhost.exe,0,0,0,133,low,medium
svchost.exe,0,0,0,15042,unknown,medium
svchost.exe,0,0,41,15042,unknown,medium
svchost.exe,0,0,0,15042,unknown,medium
svchost.exe,0,0,0,15042,unknown,medium
svchost.exe,0,0,0,15042,unknown,medium
jusched.exe,0,0,0,15011,low,medium
igfxCUIService.exe,0,0,0,15042,unknown,medium
svchost.exe,0,0,0,15042,unknown,medium
SearchProtocolHost.exe,0,0,0,90,unknown,medium
svchost.exe,0,0,71,15042,unknown,medium
svchost.exe,0,0,0,15043,unknown,medium
MemCompression,0,2,0,15043,unknown,medium
RuntimeBroker.exe,0,0,0,13097,low,medium
svchost.exe,0,0,0,15043,unknown,medium
svchost.exe,0,0,0,15043,unknown,medium
svchost.exe,0,0,0,15043,unknown,medium
svchost.exe,0,0,0,15043,unknown,medium
svchost.exe,0,0,0,15043,unknown,medium
svchost.exe,0,0,0,12405,unknown,medium
svchost.exe,0,0,0,15043,unknown,medium
wlanext.exe,0,0,0,15043,unknown,medium
RuntimeBroker.exe,0,0,7,15028,low,medium
spoolsv.exe,0,0,0,15043,unknown,medium
conhost.exe,0,0,0,15043,unknown,medium
svchost.exe,0,0,0,15043,unknown,medium
ms-teams.exe,0,0,9,11212,low,medium
svchost.exe,0,0,0,15043,unknown,medium
svchost.exe,0,0,0,15044,unknown,medium
taskhostw.exe,0,0,0,15039,low,medium
msedgewebview2.exe,0,2,100,11224,low,medium
svchost.exe,0,0,1,15044,unknown,medium
OfficeClickToRun.exe,0,0,6,15044,unknown,medium
svchost.exe,0,0,0,15044,unknown,medium
svchost.exe,0,0,100,15044,unknown,medium
svchost.exe,0,0,100,15044,unknown,medium
svchost.exe,0,0,19,15039,low,medium
FoxitPDFReaderUpdateService.exe,0,0,100,15044,unknown,medium
SearchFilterHost.exe,0,0,0,93,unknown,medium
esif_uf.exe,0,0,0,15044,unknown,medium
svchost.exe,0,0,0,15044,unknown,medium
OneApp.IGCC.WinService.exe,0,0,0,15045,unknown,medium
svchost.exe,0,0,56,15045,unknown,medium
IntelAudioService.exe,0,0,0,15045,unknown,medium
jhi_service.exe,0,0,0,15045,unknown,medium
svchost.exe,0,0,0,15038,low,medium
taskhostw.exe,0,0,0,15041,low,medium
browser.exe,0,0,0,249,low,medium
MpDefenderCoreService.exe,0,0,4,15045,unknown,medium
svchost.exe,0,0,0,15045,unknown,medium
RtkAudUService64.exe,0,0,0,15045,unknown,medium
RstMwService.exe,0,0,0,15045,unknown,medium
svchost.exe,0,0,0,15046,unknown,medium
vpnclient_x64.exe,0,0,100,15046,unknown,medium
svchost.exe,0,0,0,15046,unknown,medium
dasHost.exe,0,0,0,15046,unknown,medium
svchost.exe,0,0,0,15046,unknown,medium
MsMpEng.exe,0,2,100,15046,unknown,medium
svchost.exe,0,0,0,15046,unknown,medium
svchost.exe,0,0,3,15046,unknown,medium
browser.exe,0,0,0,14963,low,medium
WMIRegistrationService.exe,0,0,0,15046,unknown,medium
Video.UI.exe,0,0,14,13103,low,medium
svchost.exe,0,0,0,15047,unknown,medium
RuntimeBroker.exe,0,0,6,6106,low,medium
svchost.exe,0,0,0,348,unknown,medium
browser.exe,0,2,100,14985,low,medium
browser.exe,0,0,0,14985,low,medium
browser.exe,0,0,2,14970,low,medium
svchost.exe,0,0,0,15046,unknown,medium
dptf_helper.exe,0,0,0,15046,low,medium
igfxEM.exe,0,0,0,15043,low,medium
browser.exe,31,8,100,14976,low,medium
browser.exe,0,0,2,14498,low,medium
dllhost.exe,0,0,1,15046,unknown,medium
SearchApp.exe,0,0,3,14941,low,medium
TextInputHost.exe,0,0,0,15031,low,medium
gamingservices.exe,0,0,12,15046,unknown,medium
gamingservicesnet.exe,0,0,0,15046,unknown,medium
SearchIndexer.exe,0,0,29,15046,unknown,medium
dllhost.exe,0,0,41,15041,low,medium
browser.exe,0,3,100,14509,low,medium
Code.exe,0,2,68,173,low,medium
browser.exe,0,0,1,720,low,medium
svchost.exe,0,0,0,15045,unknown,medium
svchost.exe,0,0,0,15046,unknown,medium
LockApp.exe,0,0,0,6108,low,medium
svchost.exe,0,0,100,15045,low,medium
sihost.exe,0,0,1,15045,low,medium
Code.exe,0,1,94,174,low,medium
svchost.exe,0,0,0,15046,unknown,medium
svchost.exe,0,0,0,15046,unknown,medium
svchost.exe,0,0,0,15046,unknown,medium
msedgewebview2.exe,0,0,88,11232,low,medium
msedgewebview2.exe,0,0,5,14942,low,medium
svchost.exe,0,0,2,6113,unknown,medium
svchost.exe,0,0,0,476,unknown,medium
svchost.exe,0,0,0,15046,unknown,medium
ctfmon.exe,0,0,0,15046,low,medium
svchost.exe,0,0,0,14956,unknown,medium
UniKeyNT.exe,0,0,0,14571,low,medium
svchost.exe,0,0,0,14927,unknown,medium
RtkAudUService64.exe,0,0,0,15043,unknown,medium
explorer.exe,0,1,81,15046,low,medium
Code.exe,0,1,3,149,low,medium
svchost.exe,0,0,0,15046,unknown,medium
AggregatorHost.exe,0,0,100,15046,unknown,medium
rundll32.exe,0,0,0,14954,low,medium
browser.exe,0,0,2,14976,low,medium
browser.exe,0,1,28,7482,low,medium
StartMenuExperienceHost.exe,0,0,0,15044,low,medium
python.exe,0,0,0,18,low,medium
RuntimeBroker.exe,0,0,0,15044,low,medium
svchost.exe,0,0,0,15043,unknown,medium
browser.exe,0,1,100,14582,low,medium
SearchApp.exe,0,0,84,15043,low,medium
RuntimeBroker.exe,0,0,5,15043,low,medium
msedge.exe,0,0,4,15027,low,medium
svchost.exe,0,0,0,15039,unknown,medium
NisSrv.exe,0,0,0,15038,unknown,medium
msedge.exe,0,0,10,15027,low,medium
ms-teams.exe,0,0,49,11856,low,medium
svchost.exe,0,0,0,15042,unknown,medium
conhost.exe,0,0,0,152,low,medium
browser.exe,0,0,2,14356,low,medium
msedge.exe,0,0,0,15027,low,medium
msedgewebview2.exe,0,0,0,14946,low,medium
browser.exe,0,0,5,14502,low,medium
browser.exe,0,0,100,14990,low,medium
browser.exe,0,0,100,14988,low,medium
CocCocCrashHandler.exe,0,0,0,15041,unknown,medium
CocCocCrashHandler64.exe,0,0,0,15041,unknown,medium
msedgewebview2.exe,0,0,72,11236,low,medium
SecurityHealthSystray.exe,0,0,0,15032,low,medium
SecurityHealthService.exe,0,0,0,15033,unknown,medium
RtkAudUService64.exe,0,0,0,15032,low,medium
vpnclient_x64.exe,0,0,10,15032,low,medium
OneDrive.exe,0,0,48,15031,low,medium
OneDrive.exe,0,0,12,15031,low,medium
svchost.exe,0,0,0,15031,unknown,medium
msedge.exe,0,0,65,15030,low,medium
Microsoft.SharePoint.exe,0,0,3,14748,low,medium
svchost.exe,0,0,0,15030,unknown,medium
msedge.exe,0,0,0,15030,low,medium
browser.exe,0,0,26,14992,low,medium
conhost.exe,0,0,0,152,low,medium
Code.exe,0,1,40,158,low,medium
msedgewebview2.exe,0,0,11,14948,low,medium
msedge.exe,0,0,5,15029,low,medium
msedgewebview2.exe,0,0,37,14948,low,medium
browser.exe,0,0,22,14517,low,medium
msedge.exe,0,0,0,15029,low,medium
browser.exe,62,2,100,14993,low,medium
ShellExperienceHost.exe,0,0,0,15029,low,medium
CompPkgSrv.exe,0,0,0,14980,low,medium
RuntimeBroker.exe,0,0,0,15028,low,medium
browser.exe,0,0,100,14993,low,medium
svchost.exe,0,0,0,14449,unknown,medium
powershell.exe,0,0,0,153,low,medium
dllhost.exe,0,0,12,14468,low,medium
Code.exe,0,3,100,152,low,medium
browser.exe,0,1,48,8150,low,medium
UserOOBEBroker.exe,0,0,0,4345,low,medium
Code.exe,0,0,40,180,low,medium
RuntimeBroker.exe,0,0,0,11859,low,medium
browser.exe,0,0,7,4833,low,medium
msedgewebview2.exe,0,0,18,11239,low,medium
msedgewebview2.exe,0,0,0,11240,low,medium
svchost.exe,0,0,2,451,unknown,medium
powershell.exe,0,0,0,151,low,medium
Code.exe,0,0,0,183,low,medium
Code.exe,0,0,1,161,low,medium
msedgewebview2.exe,0,0,0,11225,low,medium
browser.exe,0,1,23,262,low,medium
dllhost.exe,0,0,0,2438,low,medium
browser.exe,0,0,0,729,low,medium
Code.exe,0,0,0,183,low,medium
svchost.exe,0,0,0,4587,unknown,medium
Code.exe,0,0,0,158,low,medium
System Idle Process,162,0,0,0,unknown,medium
System,0,0,100,0,unknown,medium
Registry,0,0,100,15105,unknown,medium
browser.exe,0,0,100,15031,low,medium
browser.exe,0,0,100,15031,low,medium
svchost.exe,0,0,4,15097,unknown,medium
Code.exe,0,1,40,219,low,medium
smss.exe,0,0,0,15103,unknown,medium
pet.exe,0,0,0,193,low,medium
WUDFHost.exe,0,0,5,15097,unknown,medium
csrss.exe,0,0,0,15098,unknown,medium
wininit.exe,0,0,0,15098,unknown,medium
csrss.exe,0,0,1,15098,unknown,medium
services.exe,0,0,0,15098,unknown,medium
lsass.exe,0,0,0,15098,unknown,medium
winlogon.exe,0,0,0,15098,unknown,medium
fontdrvhost.exe,0,0,0,15098,unknown,medium
fontdrvhost.exe,0,0,0,15098,unknown,medium
svchost.exe,0,0,0,15098,unknown,medium
svchost.exe,0,0,0,15098,unknown,medium
msedgewebview2.exe,0,0,67,14988,low,medium
WUDFHost.exe,0,0,0,15098,unknown,medium
browser.exe,31,3,62,773,low,medium
svchost.exe,0,0,0,15099,unknown,medium
vpncmgr_x64.exe,0,0,9,15068,low,medium
browser.exe,0,3,100,2678,low,medium
browser.exe,0,0,27,15028,low,medium
svchost.exe,0,0,0,15099,unknown,medium
svchost.exe,0,0,88,15099,unknown,medium
svchost.exe,0,0,0,15099,unknown,medium
svchost.exe,0,0,0,15099,unknown,medium
audiodg.exe,15,0,0,12408,low,medium
dwm.exe,0,0,10,15099,unknown,medium
svchost.exe,0,0,0,15100,unknown,medium
msedgewebview2.exe,0,0,72,14990,low,medium
IntelCpHDCPSvc.exe,0,0,0,15100,unknown,medium
svchost.exe,0,0,0,15100,unknown,medium
svchost.exe,0,0,0,15100,unknown,medium
svchost.exe,0,0,0,15100,unknown,medium
msedgewebview2.exe,0,0,100,11280,low,medium
FileCoAuth.exe,0,0,0,13675,low,medium
svchost.exe,0,0,0,15100,unknown,medium
svchost.exe,0,0,0,15100,unknown,medium
svchost.exe,0,0,0,15101,unknown,medium
svchost.exe,0,0,10,15101,unknown,medium
IntelCpHeciSvc.exe,0,0,0,15101,unknown,medium
smartscreen.exe,0,0,0,224,low,medium
svchost.exe,0,0,0,15100,unknown,medium
svchost.exe,0,0,0,15101,unknown,medium
svchost.exe,0,0,0,15101,unknown,medium
svchost.exe,0,0,7,14975,low,medium
svchost.exe,0,0,0,15101,unknown,medium
conhost.exe,0,0,0,193,low,medium
svchost.exe,0,0,0,15102,unknown,medium
svchost.exe,0,0,41,15102,unknown,medium
svchost.exe,0,0,0,15102,unknown,medium
svchost.exe,0,0,0,15102,unknown,medium
svchost.exe,0,0,0,15102,unknown,medium
jusched.exe,0,0,0,15071,low,medium
igfxCUIService.exe,0,0,0,15102,unknown,medium
svchost.exe,0,0,0,15102,unknown,medium
SearchProtocolHost.exe,0,0,0,150,unknown,medium
svchost.exe,0,0,71,15102,unknown,medium
svchost.exe,0,0,0,15102,unknown,medium
MemCompression,0,2,0,15103,unknown,medium
RuntimeBroker.exe,0,0,0,13156,low,medium
svchost.exe,0,0,0,15103,unknown,medium
svchost.exe,0,0,0,15103,unknown,medium
svchost.exe,0,0,0,15103,unknown,medium
svchost.exe,0,0,0,15103,unknown,medium
svchost.exe,0,0,0,15103,unknown,medium
svchost.exe,0,0,0,12465,unknown,medium
svchost.exe,0,0,0,15103,unknown,medium
wlanext.exe,0,0,0,15103,unknown,medium
RuntimeBroker.exe,0,0,7,15088,low,medium
spoolsv.exe,0,0,0,15103,unknown,medium
conhost.exe,0,0,0,15103,unknown,medium
svchost.exe,0,0,0,15103,unknown,medium
ms-teams.exe,0,0,9,11272,low,medium
svchost.exe,0,0,0,15103,unknown,medium
svchost.exe,0,0,0,15103,unknown,medium
taskhostw.exe,0,0,0,15099,low,medium
msedgewebview2.exe,0,2,100,11284,low,medium
svchost.exe,0,0,1,15104,unknown,medium
OfficeClickToRun.exe,0,0,6,15104,unknown,medium
svchost.exe,0,0,0,15104,unknown,medium
svchost.exe,0,0,100,15104,unknown,medium
svchost.exe,0,0,100,15104,unknown,medium
svchost.exe,0,0,19,15099,low,medium
FoxitPDFReaderUpdateService.exe,0,0,100,15104,unknown,medium
SearchFilterHost.exe,0,0,0,153,unknown,medium
esif_uf.exe,0,0,0,15104,unknown,medium
svchost.exe,0,0,0,15104,unknown,medium
OneApp.IGCC.WinService.exe,0,0,0,15105,unknown,medium
svchost.exe,0,0,56,15105,unknown,medium
IntelAudioService.exe,0,0,0,15105,unknown,medium
jhi_service.exe,0,0,0,15105,unknown,medium
svchost.exe,0,0,0,15098,low,medium
taskhostw.exe,0,0,0,15100,low,medium
browser.exe,0,0,0,309,low,medium
MpDefenderCoreService.exe,0,0,4,15105,unknown,medium
svchost.exe,0,0,0,15105,unknown,medium
RtkAudUService64.exe,0,0,0,15105,unknown,medium
RstMwService.exe,0,0,0,15105,unknown,medium
svchost.exe,0,0,0,15105,unknown,medium
vpnclient_x64.exe,0,0,100,15106,unknown,medium
svchost.exe,0,0,0,15106,unknown,medium
dasHost.exe,0,0,0,15106,unknown,medium
svchost.exe,0,0,0,15106,unknown,medium
MsMpEng.exe,0,2,100,15106,unknown,medium
svchost.exe,0,0,0,15106,unknown,medium
svchost.exe,0,0,3,15106,unknown,medium
browser.exe,0,0,0,15023,low,medium
WMIRegistrationService.exe,0,0,0,15106,unknown,medium
Video.UI.exe,0,0,14,13163,low,medium
svchost.exe,0,0,0,15106,unknown,medium
RuntimeBroker.exe,0,0,6,6166,low,medium
browser.exe,0,2,100,15045,low,medium
browser.exe,0,0,0,15044,low,medium
browser.exe,0,0,2,15030,low,medium
svchost.exe,0,0,0,15106,unknown,medium
dptf_helper.exe,0,0,0,15106,low,medium
igfxEM.exe,0,0,0,15103,low,medium
browser.exe,354,8,100,15035,low,medium
browser.exe,0,0,2,14558,low,medium
dllhost.exe,0,0,1,15106,unknown,medium
SearchApp.exe,0,0,3,15001,low,medium
TextInputHost.exe,0,0,0,15091,low,medium
gamingservices.exe,0,0,12,15106,unknown,medium
gamingservicesnet.exe,0,0,0,15106,unknown,medium
SearchIndexer.exe,0,0,29,15106,unknown,medium
dllhost.exe,0,0,41,15101,low,medium
browser.exe,0,3,100,14569,low,medium
Code.exe,0,1,84,233,low,medium
browser.exe,0,0,1,780,low,medium
svchost.exe,0,0,0,15105,unknown,medium
svchost.exe,0,0,0,15105,unknown,medium
LockApp.exe,0,0,0,6168,low,medium
svchost.exe,0,0,100,15105,low,medium
sihost.exe,0,0,1,15105,low,medium
Code.exe,0,1,95,234,low,medium
svchost.exe,0,0,0,15106,unknown,medium
svchost.exe,0,0,0,15106,unknown,medium
svchost.exe,0,0,0,15106,unknown,medium
msedgewebview2.exe,0,0,88,11292,low,medium
msedgewebview2.exe,0,0,5,15002,low,medium
svchost.exe,0,0,2,6173,unknown,medium
svchost.exe,0,0,0,536,unknown,medium
svchost.exe,0,0,0,15106,unknown,medium
ctfmon.exe,0,0,0,15106,low,medium
svchost.exe,0,0,0,15016,unknown,medium
UniKeyNT.exe,0,0,0,14630,low,medium
svchost.exe,0,0,0,14986,unknown,medium
RtkAudUService64.exe,0,0,0,15103,unknown,medium
explorer.exe,0,1,82,15106,low,medium
Code.exe,0,1,3,209,low,medium
svchost.exe,0,0,0,15106,unknown,medium
AggregatorHost.exe,0,0,100,15106,unknown,medium
rundll32.exe,0,0,0,15014,low,medium
browser.exe,0,0,2,15036,low,medium
browser.exe,0,1,28,7542,low,medium
StartMenuExperienceHost.exe,0,0,0,15103,low,medium
RuntimeBroker.exe,0,0,0,15103,low,medium
svchost.exe,0,0,0,15103,unknown,medium
browser.exe,0,1,100,14642,low,medium
SearchApp.exe,0,0,84,15103,low,medium
RuntimeBroker.exe,0,0,5,15103,low,medium
msedge.exe,0,0,4,15086,low,medium
svchost.exe,0,0,0,15099,unknown,medium
NisSrv.exe,0,0,0,15097,unknown,medium
msedge.exe,0,0,10,15087,low,medium
ms-teams.exe,0,0,49,11915,low,medium
svchost.exe,0,0,0,15102,unknown,medium
conhost.exe,0,0,0,211,low,medium
browser.exe,0,0,2,14415,low,medium
msedge.exe,0,0,0,15087,low,medium
msedgewebview2.exe,0,0,0,15005,low,medium
browser.exe,0,0,5,14562,low,medium
browser.exe,0,0,100,15050,low,medium
browser.exe,0,0,100,15048,low,medium
CocCocCrashHandler.exe,0,0,0,15101,unknown,medium
CocCocCrashHandler64.exe,0,0,0,15101,unknown,medium
msedgewebview2.exe,0,0,72,11296,low,medium
SecurityHealthSystray.exe,0,0,0,15092,low,medium
SecurityHealthService.exe,0,0,0,15092,unknown,medium
RtkAudUService64.exe,0,0,0,15092,low,medium
vpnclient_x64.exe,0,0,10,15091,low,medium
OneDrive.exe,0,0,48,15091,low,medium
